Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,106.5,-127.75,0,top
C2,1uF,C_0402_1005Metric,102.5,-127.75,180,top
C3,1uF,C_0402_1005Metric,125.51,-127.75,0,top
C4,1uF,C_0402_1005Metric,121.51,-127.75,180,top
C5,1uF,C_0402_1005Metric,144.26,-127.75,0,top
C6,1uF,C_0402_1005Metric,140.26,-127.75,180,top
C7,1uF,C_0402_1005Metric,163.72,-127.75,0,top
C8,1uF,C_0402_1005Metric,159.51,-127.75,180,top
C9,10nF,C_0603_1608Metric,101.825,-118,0,top
C10,10nF,C_0603_1608Metric,109.775,-118,0,top
D1,~,XL-5050RGBC-WS2812B,91.845,-110,0,top
D2,~,XL-5050RGBC-WS2812B,92,-130,0,top
D3,~,XL-5050RGBC-WS2812B,101,-149.25,90,top
D4,~,XL-5050RGBC-WS2812B,106.71,-143.75,90,top
D5,~,XL-5050RGBC-WS2812B,125.375,-143.75,90,top
D6,~,XL-5050RGBC-WS2812B,135,-149.25,90,top
D7,~,XL-5050RGBC-WS2812B,144.71,-143.75,90,top
D8,~,XL-5050RGBC-WS2812B,163.71,-143.75,90,top
D9,~,XL-5050RGBC-WS2812B,169,-149.25,90,top
D10,~,XL-5050RGBC-WS2812B,178.71,-130,-180,top
D11,~,XL-5050RGBC-WS2812B,178.5,-110,-180,top
HE_SW1,1U,MX-1U-NoPins,106.71,-136.25,0,top
HE_SW2,1U,MX-1U-NoPins,125.71,-136.25,0,top
HE_SW3,1U,MX-1U-NoPins,144.71,-136.25,0,top
HE_SW4,1U,MX-1U-NoPins,163.71,-136.25,0,top
R1,100Ω,R_0402_1005Metric,110.49,-127.75,0,top
R2,100Ω,R_0402_1005Metric,129.48,-127.75,0,top
R3,100Ω,R_0402_1005Metric,148.48,-127.75,0,top
R4,100Ω,R_0402_1005Metric,167.99,-127.75,0,top
RZ1,RP2040-Zero,rp2040-zero,115.21,-112,0,top
RotaryEncoder1,~,PEC16-4015F-S0024,102.75,-111.25,0,top
SSD1306,~,SSD1306-0.91-OLED-4pin-128x32,172.21,-103,180,top
SW_2,~,SW_Push_1P1T_NO_6x6mm_H9.5mm,153.25,-109.25,0,top
SW_3,~,SW_Push_1P1T_NO_6x6mm_H9.5mm,146.75,-115.75,0,top
SW_4,~,SW_Push_1P1T_NO_6x6mm_H9.5mm,159.475,-115.75,0,top
SW_5,~,SW_Push_1P1T_NO_6x6mm_H9.5mm,153.225,-122.25,0,top
